client_id,business_name,trade,license_class,roc_number,city,zip,owner,issued,missing,phone,email,website
seven-eleven-customs-llc,Seven Eleven Customs LLC,welding,CR-24,349009,Tucson,85713,David M Ruiz,,phone,,,
z-family-handyman-services-llc,Z FAMILY HANDYMAN SERVICES LLC,handyman,R-62,348994,Tucson,85757,David Zabalza,,phone,,,
anointed-one-plumbing-contractors-llc,Anointed One Plumbing Contractors LLC,plumbing,CR-37,348990,Tucson,85719,David Charles MacNeil,,phone,,,
black-dog-industries-llc,Black Dog Industries  LLC,painting,C-34,348982,Tucson,85731,Jacob Alan Malone,,phone,,,
tim-allen-plumbing-llc,TIM ALLEN PLUMBING LLC,plumbing,CR-37,348973,Oro Valley,85755,Timothy Todd Allen,,phone,,,
shadow-mountain-electric-llc,Shadow Mountain Electric LLC,electrical,CR-11,348972,Tucson,85704,MATHEW JOSEPH CORNETT,,phone,,,
humble-connections-electric-llc,Humble Connections Electric LLC,electrical,CR-11,348971,Tucson,85741,Charles Lee Brandon Humble,,phone,,,
pool-sharkz-llc,Pool Sharkz LLC,pools,CR-6,348966,Sierra Vista,85635,Troy Nelson Lawrence,,phone,,,
henry-johnson,Henry Johnson,painting,CR-34,348953,Tucson,85704,Henry Michael Johnson,,phone,,,
puroclean-of-north-tucson-inc,"PuroClean of North Tucson, Inc",demolition,CR-57,348950,Tucson,85719,Ulrick Belmont Jr,,phone,,,
envision-arizona-llc,Envision Arizona LLC,fencing,CR-14,348934,Tucson,85742,Janice Yoshie Eda,,phone,,,
xplicit-plumbing-llc,Xplicit Plumbing LLC,plumbing,CR-37,348916,Tucson,85747,Shane Christopher Moore,,phone,,,
summer-dawn-remodeling-restorations-llc,Summer Dawn Remodeling & Restorations LLC,carpentry,CR-61,348913,TUCSON,85735,Esteban Gonzalez Guitierrez,,phone,,,
motili-inc,"Motili, Inc",hvac,R-39,348908,Oro Valley,85755,Nicholas LaFortuna Jr,,phone,,,
assurgent-builders-llc,"Assurgent Builders, LLC",steel,A-11,348898,Tucson,85746,Jesus Andres Gonzales Jimenez,,phone,,,
apex-water-and-power-llc,Apex Water and Power LLC,general,KB-2,348879,Tucson,85756,Perry J McPherson,,phone,,,
long-living-llc,LONG LIVING LLC,pools,B-5,348878,Tucson,85756,Gregory Lynn Miller II,,phone,,,
blueprint-building-services-llc,"Blueprint Building Services, LLC",plumbing,R-37R,348865,Tucson,85742,William Eugene Wood,,phone,,,
724-affordable-plumbing-llc,"724 AFFORDABLE PLUMBING, LLC",plumbing,CR-37,348851,Nogales,85621,Diana Marie Rangel,,phone,,,
az-custom-remodel-llc,AZ Custom Remodel LLC,general,KB-2,348845,Tucson,85710,Anthony Ryan Diaz,,phone,,,
badabo-construction-llc,Badabo Construction LLC,general,KA,348831,Marana,85653,Dwight Barry Dickey,,phone,,,
